datetime,open,high,low,close,volume
2015-01-02,183.98,186.33,183.52,185.35,130145200
2015-01-05,184.66,184.92,181.96,182.45,146570400
2015-01-06,182.36,183.28,181.53,182.64,137280800
2015-01-07,183.98,184.16,181.86,183.03,128180000
2015-01-08,184.18,186.71,183.78,186.50,129538400
2015-01-09,187.23,187.45,185.78,186.31,89477600
2015-01-12,186.43,187.30,185.50,186.17,98949200
2015-01-13,187.51,188.45,186.90,187.71,96951600
2015-01-14,188.15,188.57,186.68,187.63,107497200
2015-01-15,185.45,186.28,184.38,185.29,137815200
2015-01-16,186.62,187.28,185.93,187.15,97706000
2015-01-20,187.05,188.09,186.50,186.92,92793200
2015-01-21,188.12,188.50,186.91,188.01,106272400
2015-01-22,188.94,189.80,188.66,189.35,86949200
2015-01-23,189.08,189.54,188.38,189.17,79088800
2015-01-26,189.39,189.82,188.82,189.55,86132000
2015-01-27,188.91,189.30,187.08,188.69,117167600
2015-01-28,186.99,188.69,186.80,188.48,109834000
2015-01-29,188.53,189.51,188.08,188.45,98713200
2015-01-30,186.29,186.71,184.27,184.91,204126800
2015-02-02,185.24,186.17,184.86,185.98,97924000
2015-02-03,186.39,187.05,185.36,186.74,97033200
2015-02-04,187.17,187.58,186.39,187.15,85534400
2015-02-05,187.58,188.26,186.87,187.79,92116400
2015-02-06,187.90,188.48,186.42,187.66,99849200
2015-02-09,188.03,188.55,187.37,188.29,83524800
2015-02-10,188.67,189.27,188.35,188.91,90540000
2015-02-11,189.14,189.76,188.82,189.47,88960400
2015-02-12,189.69,190.33,189.34,189.83,84653200
2015-02-13,190.05,190.50,189.44,189.78,82772000
2015-02-17,190.18,191.08,189.95,191.04,87054800
2015-02-18,190.86,191.07,189.92,190.87,92266400
2015-02-19,191.22,191.67,190.65,191.09,86695200
2015-02-20,191.08,191.30,190.15,190.63,91475600
2015-02-23,191.21,192.04,191.11,191.79,81446800
2015-02-24,192.05,192.17,190.92,191.17,89917200
2015-02-25,190.87,191.26,190.10,190.77,98074400
2015-02-26,190.67,191.24,190.30,190.91,91818000
2015-02-27,191.15,191.64,190.72,191.09,85046400
2015-03-02,191.63,192.13,191.08,191.92,92835200
2015-03-03,192.32,192.50,190.75,191.15,107826000
2015-03-04,191.68,192.17,191.05,191.78,95854400
2015-03-05,191.44,191.82,190.47,190.51,113590000
2015-03-06,190.05,190.20,188.13,188.57,131933600
2015-03-09,189.01,189.50,188.29,189.13,98815200
2015-03-10,189.87,190.78,189.46,190.73,99858400
2015-03-11,191.34,192.14,191.08,191.98,92016000
2015-03-12,192.34,192.84,191.78,192.39,96825200
2015-03-13,192.22,192.47,191.31,191.49,100548000
2015-03-16,192.23,192.52,191.59,192.36,83722000
2015-03-17,192.64,193.00,192.29,192.51,84923600
2015-03-18,193.06,193.09,191.11,191.92,132551200
2015-03-19,192.61,193.24,192.35,193.18,92486000
2015-03-20,193.89,194.26,193.40,193.86,127657600
2015-03-23,194.34,194.51,193.53,193.73,84316400
2015-03-24,193.72,194.05,193.01,193.08,95863600
2015-03-25,193.16,193.71,192.14,192.15,116774000
2015-03-26,192.58,193.25,192.25,193.00,84854800
2015-03-27,192.91,193.27,191.90,192.08,89888800
2015-03-30,192.37,192.96,192.17,192.66,77029200
2015-03-31,192.85,193.33,192.45,192.96,104263600
2015-04-01,193.31,194.21,193.26,193.86,90515200
2015-04-02,194.43,194.86,193.76,194.26,83818000
2015-04-06,194.10,194.43,193.29,193.51,80486800
2015-04-07,193.42,194.29,193.07,193.95,86211600
2015-04-08,194.47,195.26,194.36,195.19,77757600
2015-04-09,195.36,195.63,194.82,194.85,91838400
2015-04-10,194.52,195.07,193.86,194.36,90549200
2015-04-13,194.81,195.44,194.30,195.29,77192400
2015-04-14,195.41,195.68,194.91,195.34,78838000
2015-04-15,195.91,196.39,195.73,196.33,88062800
2015-04-16,196.82,196.98,196.10,196.57,83770000
2015-04-17,196.48,196.77,195.36,195.44,115619600
2015-04-20,195.52,196.35,195.30,195.98,78291600
2015-04-21,195.88,196.06,194.91,195.12,81937200
2015-04-22,195.46,196.14,195.26,195.93,77028000
2015-04-23,196.42,196.99,195.92,196.72,86056400
2015-04-24,196.49,196.74,195.24,195.32,95226000
2015-04-27,195.47,196.33,195.39,196.06,76560800
2015-04-28,196.11,196.37,195.16,195.31,90054800
2015-04-29,194.81,195.02,193.00,193.34,125065600
2015-04-30,193.81,194.04,192.46,192.56,151134400
2015-05-01,193.07,194.10,192.75,193.42,115330800
2015-05-04,193.97,194.37,193.49,194.05,85239200
2015-05-05,194.05,194.05,193.05,193.16,87890800
2015-05-06,193.11,194.08,192.78,193.75,86593600
2015-05-07,193.89,194.58,193.56,194.54,82464400
2015-05-08,194.81,195.26,194.34,195.04,90066000
2015-05-11,195.05,195.36,194.53,195.07,80487200
2015-05-12,194.97,195.37,194.46,194.73,80458800
2015-05-13,194.53,195.08,194.08,194.80,87540800
2015-05-14,195.01,195.36,194.63,195.22,86439200
2015-05-15,195.17,195.69,194.65,194.73,85772400
2015-05-18,195.19,195.86,194.99,195.56,74821600
2015-05-19,195.71,196.24,195.36,196.03,77990400
2015-05-20,196.08,196.44,195.69,195.88,75673200
2015-05-21,195.99,196.47,195.68,196.29,84135600
2015-05-22,196.34,196.34,195.44,195.48,86927200
2015-05-26,195.80,196.56,195.66,196.37,73038400
2015-05-27,196.48,196.73,195.78,196.10,79925600
2015-05-28,196.01,196.52,195.61,195.83,79267200
2015-05-29,195.64,196.08,194.80,194.83,93569200
2015-06-01,195.10,195.60,194.42,194.48,87829600
2015-06-02,194.84,195.42,194.33,195.10,82593200
2015-06-03,195.14,195.41,194.42,194.53,78679600
2015-06-04,194.48,194.97,193.88,194.14,92570400
2015-06-05,194.14,194.51,193.50,193.60,85902000
2015-06-08,193.81,194.17,192.81,193.01,98850800
2015-06-09,193.26,193.86,192.84,193.42,80745200
2015-06-10,193.61,194.22,192.79,192.82,107423600
2015-06-11,192.67,193.35,192.47,193.00,82710400
2015-06-12,192.82,193.22,192.09,192.23,89794000
2015-06-15,191.80,192.39,191.05,191.11,111923600
2015-06-16,191.47,192.43,191.21,192.04,89244400
2015-06-17,192.47,193.09,192.22,192.90,80428400
2015-06-18,193.12,193.54,192.70,193.26,85702000
2015-06-19,193.52,194.01,193.06,193.64,106417200
2015-06-22,194.08,194.59,193.88,194.49,79341600
2015-06-23,194.71,194.96,194.01,194.18,80861200
2015-06-24,194.13,194.59,193.30,193.40,98854800
